venue_id,venue_name,region,period_label,exam_date,weekday_ja,weekend_or_holiday,source_url,fetched_at
eisei-chushi,中国四国安全衛生技術センター,中国・四国,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-hokkaido,北海道安全衛生技術センター,北海道,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-04-03,金,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-04-08,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.4～R8.9）,2026-04-08,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-04-08,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-04-08,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-04-15,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-04-15,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-04-18,土,1,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chushi,中国四国安全衛生技術センター,中国・四国,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-hokkaido,北海道安全衛生技術センター,北海道,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kinki,近畿安全衛生技術センター,近畿,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-04-21,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-05-12,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-hokkaido,北海道安全衛生技術センター,北海道,令和８年度（R8.4～R8.9）,2026-05-12,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-12,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-05-12,火,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-14,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.4～R8.9）,2026-05-14,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-05-14,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chushi,中国四国安全衛生技術センター,中国・四国,令和８年度（R8.4～R8.9）,2026-05-18,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.4～R8.9）,2026-05-18,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-18,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-05-20,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-20,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kanto,関東安全衛生技術センター,関東,令和８年度（R8.4～R8.9）,2026-05-20,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-21,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-23,土,1,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kinki,近畿安全衛生技術センター,近畿,令和８年度（R8.4～R8.9）,2026-05-27,水,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-05-28,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-kyushu,九州安全衛生技術センター,九州,令和８年度（R8.4～R8.9）,2026-05-28,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-hokkaido,北海道安全衛生技術センター,北海道,令和８年度（R8.4～R8.9）,2026-05-28,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-05-28,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-tohoku,東北安全衛生技術センター,東北,令和８年度（R8.4～R8.9）,2026-05-28,木,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-osaka,大阪試験場,近畿,令和８年度（R8.4～R8.9）,2026-06-01,月,0,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
eisei-chubu,中部安全衛生技術センター,中部,令和８年度（R8.4～R8.9）,2026-06-07,日,1,https://www.exam.or.jp/schedule/h_nittei502/,2026-06-28
